obs,nairu,infl,unrate,d_infl,u_diff
1949Q1,5.255,1.3832,4.666666667,NA,-0.588333333
1949Q2,5.261,-0.31953,5.866666667,NA,0.605666666999999
1949Q3,5.268,-2.78727,6.7,NA,1.432
1949Q4,5.274,-2.12355,6.966666667,NA,1.692666667
1950Q1,5.281,-1.48963,6.4,-2.87283,1.119
1950Q2,5.287,-0.62718,5.566666667,-0.30765,0.279666667
1950Q3,5.294,2.052,4.633333333,4.83927,-0.660666666999999
1950Q4,5.301,4.36743,4.233333333,6.49098,-1.067666667
1951Q1,5.308,8.94573,3.5,10.43536,-1.808
1951Q2,5.314,9.17251,3.1,9.79969,-2.214
1951Q3,5.321,7.14778,3.166666667,5.09578,-2.154333333
1951Q4,5.327,6.57397,3.366666667,2.20654,-1.960333333
1952Q1,5.333,2.80192,3.066666667,-6.14381,-2.266333333
1952Q2,5.339,2.08119,2.966666667,-7.09132,-2.372333333
1952Q3,5.344,2.82776,3.233333333,-4.32002,-2.110666667
1952Q4,5.35,1.44395,2.833333333,-5.13002,-2.516666667
1953Q1,5.354,0.76972,2.7,-2.0322,-2.654
1953Q2,5.359,0.88095,2.566666667,-1.20024,-2.792333333
1953Q3,5.362,0.6625,2.733333333,-2.16526,-2.628666667
1953Q4,5.366,0.72419,3.7,-0.71976,-1.666
1954Q1,5.369,1.25219,5.266666667,0.48247,-0.102333333
1954Q2,5.373,0.71108,5.8,-0.16987,0.427
1954Q3,5.375,-0.01242,5.966666667,-0.67492,0.591666667
1954Q4,5.378,-0.49585,5.333333333,-1.22004,-0.0446666670000004
1955Q1,5.381,-0.59362,4.733333333,-1.84581,-0.647666667
1955Q2,5.383,-0.5698,4.4,-1.28088,-0.983
1955Q3,5.386,-0.23597,4.1,-0.22355,-1.286
1955Q4,5.388,0.37374,4.233333333,0.86959,-1.154666667
1956Q1,5.39,0.24882,4.033333333,0.84244,-1.356666667
1956Q2,5.393,1.04647,4.2,1.61627,-1.193
1956Q3,5.395,2.01668,4.133333333,2.25265,-1.261666667
1956Q4,5.398,2.58161,4.133333333,2.20787,-1.264666667
1957Q1,5.401,3.41276,3.933333333,3.16394,-1.467666667
1957Q2,5.404,3.61238,4.1,2.56591,-1.304
1957Q3,5.407,3.46553,4.233333333,1.44885,-1.173666667
1957Q4,5.41,3.0853,4.933333333,0.50369,-0.476666667
1958Q1,5.414,3.45614,6.3,0.04338,0.886
1958Q2,5.418,3.27225,7.366666667,-0.34013,1.948666667
1958Q3,5.422,2.2998,7.333333333,-1.16573,1.911333333
1958Q4,5.427,1.91315,6.366666667,-1.17215,0.939666667
1959Q1,5.432,0.89317,5.833333333,-2.56297,0.401333332999999
1959Q2,5.438,0.39175,5.1,-2.8805,-0.338
1959Q3,5.443,0.96841,5.266666667,-1.33139,-0.176333333
1959Q4,5.45,1.47414,5.6,-0.43901,0.149999999999999
1960Q1,5.456,1.39112,5.133333333,0.49795,-0.322666667
1960Q2,5.463,1.82486,5.233333333,1.43311,-0.229666667
1960Q3,5.469,1.35876,5.533333333,0.39035,0.0643333329999995
1960Q4,5.476,1.39598,6.266666667,-0.07816,0.790666667
1961Q1,5.483,1.50811,6.8,0.11699,1.317
1961Q2,5.491,0.8679,7,-0.95696,1.509
1961Q3,5.498,1.20536,6.766666667,-0.1534,1.268666667
1961Q4,5.506,0.70517,6.2,-0.69081,0.694
1962Q1,5.514,0.89366,5.633333333,-0.61445,0.119333333
1962Q2,5.523,1.30741,5.533333333,0.43951,0.0103333330000002
1962Q3,5.531,1.20214,5.566666667,-0.00322,0.0356666670000001
1962Q4,5.541,1.30043,5.533333333,0.59526,-0.00766666700000052
1963Q1,5.551,1.22896,5.766666667,0.3353,0.215666667
1963Q2,5.561,1.03684,5.733333333,-0.27057,0.172333333
1963Q3,5.572,1.36384,5.5,0.1617,-0.0720000000000001
1963Q4,5.583,1.39346,5.566666667,0.0930299999999999,-0.0163333330000004
1964Q1,5.595,1.48748,5.466666667,0.25852,-0.128333333
1964Q2,5.607,1.46288,5.2,0.42604,-0.407
1964Q3,5.62,1.07422,5,-0.28962,-0.62
1964Q4,5.633,1.2661,4.966666667,-0.12736,-0.666333333
1965Q1,5.645,1.16392,4.9,-0.32356,-0.744999999999999
1965Q2,5.659,1.64622,4.666666667,0.18334,-0.992333332999999
1965Q3,5.672,1.71766,4.366666667,0.64344,-1.305333333
1965Q4,5.685,1.78457,4.1,0.51847,-1.585
1966Q1,5.697,2.41824,3.866666667,1.25432,-1.830333333
1966Q2,5.71,2.68868,3.833333333,1.04246,-1.876666667
1966Q3,5.722,3.27177,3.766666667,1.55411,-1.955333333
1966Q4,5.734,3.56955,3.7,1.78498,-2.034
1967Q1,5.746,2.87081,3.833333333,0.45257,-1.912666667
1967Q2,5.758,2.56675,3.833333333,-0.12193,-1.924666667
1967Q3,5.769,2.70823,3.8,-0.56354,-1.969
1967Q4,5.78,2.99037,3.9,-0.57918,-1.88
1968Q1,5.792,3.74115,3.733333333,0.87034,-2.058666667
1968Q2,5.803,4.1206,3.566666667,1.55385,-2.236333333
1968Q3,5.815,4.47761,3.533333333,1.76938,-2.281666667
1968Q4,5.826,4.62598,3.4,1.63561,-2.426
1969Q1,5.838,4.87329,3.4,1.13214,-2.438
1969Q2,5.851,5.50193,3.433333333,1.38133,-2.417666667
1969Q3,5.863,5.52381,3.566666667,1.0462,-2.296333333
1969Q4,5.876,5.83255,3.566666667,1.20657,-2.309333333
1970Q1,5.89,6.22677,4.166666667,1.35348,-1.723333333
1970Q2,5.904,6.03843,4.766666667,0.5365,-1.137333333
1970Q3,5.918,5.68592,5.166666667,0.16211,-0.751333333
1970Q4,5.932,5.6,5.833333333,-0.232550000000001,-0.0986666670000007
1971Q1,5.947,4.8119,5.933333333,-1.41487,-0.0136666669999999
1971Q2,5.963,4.31406,5.9,-1.72437,-0.0629999999999997
1971Q3,5.978,4.26985,6.033333333,-1.41607,0.0553333330000001
1971Q4,5.994,3.53535,5.933333333,-2.06465,-0.0606666669999996
1972Q1,6.009,3.50584,5.766666667,-1.30606,-0.242333333
1972Q2,6.025,3.22581,5.7,-1.08825,-0.325
1972Q3,6.041,3.0303,5.566666667,-1.23955,-0.474333333000001
1972Q4,6.056,3.33333,5.366666667,-0.20202,-0.689333333
1973Q1,6.071,4.1129,4.933333333,0.60706,-1.137666667
1973Q2,6.086,5.60897,4.933333333,2.38316,-1.152666667
1973Q3,6.1,6.83625,4.8,3.80595,-1.3
1973Q4,6.113,8.41857,4.766666667,5.08524,-1.346333333
